time	V(n002)	V(n012)
2.798254546529937e-002	3.659746e+000	1.818725e+000
2.843111384135387e-002	3.148885e+000	1.548913e+000
2.913334330426584e-002	1.945758e+000	9.415995e-001
2.962278387578918e-002	8.830115e-001	4.222202e-001
3.006794254605066e-002	-1.981342e-001	-9.204351e-002
3.051547769857920e-002	-1.283473e+000	-5.961446e-001
3.097431225133247e-002	-2.283592e+000	-1.048269e+000
3.158555876572942e-002	-3.377583e+000	-1.527571e+000
3.188713780048202e-002	-3.777203e+000	-1.695873e+000
3.209192217039877e-002	-3.959584e+000	-1.768198e+000
3.224473399972094e-002	-4.046830e+000	-1.799801e+000
3.242636937049519e-002	-4.097785e+000	-1.813650e+000
3.262261635816965e-002	-4.093155e+000	-1.802221e+000
3.284958229699583e-002	-3.999581e+000	-1.750728e+000
3.321746940100335e-002	-3.655099e+000	-1.585834e+000
3.380315454134950e-002	-2.759401e+000	-1.181529e+000
3.436945043672460e-002	-1.588540e+000	-6.722147e-001
3.482748967589162e-002	-4.736118e-001	-2.011245e-001
3.526227664076329e-002	6.368071e-001	2.564566e-001
3.569724723948285e-002	1.696121e+000	6.821609e-001
3.622070593825138e-002	2.790384e+000	1.109150e+000
3.676516322302483e-002	3.679497e+000	1.443990e+000
3.700261113307003e-002	3.951202e+000	1.541407e+000
3.717769890149449e-002	4.078264e+000	1.583444e+000
3.734521203227410e-002	4.148703e+000	1.603420e+000
3.752862148776004e-002	4.173729e+000	1.604996e+000
3.769660392959699e-002	4.141788e+000	1.585437e+000
3.796981989123126e-002	3.971853e+000	1.509412e+000
3.841074778922923e-002	3.438012e+000	1.292591e+000
3.910226409928178e-002	2.172981e+000	8.030499e-001
3.959503449743450e-002	1.025461e+000	3.739785e-001
4.003980976350706e-002	-1.379410e-001	-4.871794e-002
4.048687054557423e-002	-1.311668e+000	-4.645539e-001
4.093313886893075e-002	-2.372318e+000	-8.297889e-001
4.154083055507928e-002	-3.564523e+000	-1.226936e+000
4.187492102750721e-002	-4.052745e+000	-1.382955e+000
4.208291349864708e-002	-4.257318e+000	-1.444306e+000
4.223794798250561e-002	-4.354320e+000	-1.470681e+000
4.241811334542053e-002	-4.410013e+000	-1.481846e+000
4.261954155081725e-002	-4.405972e+000	-1.472072e+000
4.284458111949195e-002	-4.307409e+000	-1.430224e+000
4.320940031805320e-002	-3.942372e+000	-1.296784e+000
4.379051641690592e-002	-2.991643e+000	-9.704047e-001
4.435819752628665e-002	-1.734542e+000	-5.555937e-001
4.481496726940492e-002	-5.423198e-001	-1.742403e-001
4.524890260107906e-002	6.478357e-001	1.963623e-001
4.568295227560994e-002	1.785357e+000	5.411833e-001
4.620124916343572e-002	2.952968e+000	8.840763e-001
4.675776250680051e-002	3.934020e+000	1.161356e+000
4.699723971214592e-002	4.230059e+000	1.240708e+000
4.717368525969806e-002	4.368122e+000	1.274608e+000
4.734038289988713e-002	4.444138e+000	1.290411e+000
4.752004672957567e-002	4.472077e+000	1.291626e+000
4.768264212819370e-002	4.441810e+000	1.276750e+000
4.794714784905099e-002	4.273663e+000	1.219116e+000
4.837441760480069e-002	3.738944e+000	1.054540e+000
4.904660412818506e-002	2.454874e+000	6.799273e-001
4.954745583874957e-002	1.225357e+000	3.344568e-001
4.999553990494013e-002	-2.050504e-002	-4.824429e-003
5.044562777382223e-002	-1.287126e+000	-3.404444e-001
5.088185882641348e-002	-2.409936e+000	-6.290181e-001
5.147954573561066e-002	-3.689195e+000	-9.462554e-001
5.185607829224002e-002	-4.294768e+000	-1.089904e+000
5.206904546195663e-002	-4.526420e+000	-1.141262e+000
5.222751170149106e-002	-4.635372e+000	-1.162960e+000
5.240543317447573e-002	-4.696573e+000	-1.171785e+000
5.261481630682934e-002	-4.694556e+000	-1.163715e+000
5.283689496157686e-002	-4.593682e+000	-1.131095e+000
5.319699506488262e-002	-4.214952e+000	-1.027363e+000
5.377106523403959e-002	-3.224111e+000	-7.741128e-001
5.434273202856003e-002	-1.884704e+000	-4.462993e-001
5.479939801101536e-002	-6.210317e-001	-1.472916e-001
5.523456863577571e-002	6.459863e-001	1.440701e-001
5.566982977012467e-002	1.857189e+000	4.150638e-001
5.618199838892363e-002	3.068854e+000	6.775440e-001
5.680972453005016e-002	4.213106e+000	9.159143e-001
5.703507180930761e-002	4.492497e+000	9.709831e-001
5.720199932328342e-002	4.614869e+000	9.927261e-001
5.737452537109764e-002	4.678889e+000	1.001563e+000
5.760328176215982e-002	4.680758e+000	9.954720e-001
5.781813006985243e-002	4.586936e+000	9.696764e-001
5.816668866956316e-002	4.227489e+000	8.854566e-001
5.872343794220855e-002	3.278409e+000	6.770326e-001
5.931684541090272e-002	1.894779e+000	3.851513e-001
5.978153526040199e-002	6.073823e-001	1.220032e-001
6.021949752192252e-002	-6.768028e-001	-1.333741e-001
6.065764650490740e-002	-1.908985e+000	-3.718181e-001
6.117429346666520e-002	-3.148093e+000	-6.037542e-001
6.180544119527312e-002	-4.317196e+000	-8.137630e-001
6.203194296254257e-002	-4.602890e+000	-8.621417e-001
6.219965373314175e-002	-4.728084e+000	-8.810986e-001
6.237169039403639e-002	-4.793024e+000	-8.885423e-001
6.260222239502387e-002	-4.794954e+000	-8.827365e-001
6.281640646943906e-002	-4.700097e+000	-8.598183e-001
6.316390354583901e-002	-4.337108e+000	-7.858037e-001
6.371905355217970e-002	-3.381186e+000	-6.039013e-001
6.430974016788621e-002	-1.994451e+000	-3.511173e-001
6.476779017571265e-002	-7.204419e-001	-1.266093e-001
6.520474738325506e-002	5.632141e-001	9.302391e-002
6.564177649390103e-002	1.794922e+000	2.977411e-001
6.614083994794896e-002	2.998581e+000	4.908429e-001
6.677070823630781e-002	4.180140e+000	6.723416e-001
6.700663940578039e-002	4.485353e+000	7.164503e-001
6.718071032811128e-002	4.621549e+000	7.340431e-001
6.734883768999028e-002	4.694583e+000	7.415338e-001
6.753505875037658e-002	4.714939e+000	7.401937e-001
6.770708503147875e-002	4.669245e+000	7.289039e-001
6.798683356250515e-002	4.456674e+000	6.895574e-001
6.843797225136648e-002	3.814017e+000	5.824322e-001
6.914378917715076e-002	2.327604e+000	3.480251e-001
6.962879414003848e-002	1.049367e+000	1.545152e-001
7.006909398636747e-002	-2.359170e-001	-3.338115e-002
7.051123665826034e-002	-1.515178e+000	-2.146392e-001
7.096670511767145e-002	-2.691533e+000	-3.753764e-001
7.157915516971408e-002	-3.980838e+000	-5.441263e-001
7.188361943273096e-002	-4.450914e+000	-6.023200e-001
7.208932634363030e-002	-4.661125e+000	-6.261297e-001
7.224277809890123e-002	-4.759436e+000	-6.357682e-001
7.242398890537818e-002	-4.813137e+000	-6.387006e-001
7.262172993077566e-002	-4.800906e+000	-6.325224e-001
7.284814055102933e-002	-4.684011e+000	-6.121781e-001
7.321514345463792e-002	-4.271462e+000	-5.514838e-001
7.379951269361926e-002	-3.220647e+000	-4.081453e-001
7.434250157467948e-002	-1.915288e+000	-2.387039e-001
7.479545034603195e-002	-6.407384e-001	-7.972579e-002
7.523145464572642e-002	6.419346e-001	7.477704e-002
7.566906609737467e-002	1.869387e+000	2.174625e-001
7.617803309194728e-002	3.091933e+000	3.536277e-001
7.674713778727886e-002	4.157115e+000	4.661885e-001
7.698953831513068e-002	4.473205e+000	4.972012e-001
7.716793440707999e-002	4.618363e+000	5.097027e-001
7.733346995739932e-002	4.697323e+000	5.149701e-001
7.748835226595734e-002	4.724058e+000	5.146675e-001
7.764567068776740e-002	4.698447e+000	5.086409e-001
7.788707054143813e-002	4.554428e+000	4.883696e-001
7.827788371516320e-002	4.084300e+000	4.316627e-001
7.889741404803963e-002	2.921586e+000	3.018348e-001
