Designator,Mid X,Mid Y,Layer,Rotation
R88,17.78,13.34,Bottom,0.0
R89, 7.62,12.07,Bottom,0.0
R90,23.50, 2.86,Bottom,0.0
R91,49.53,79.06,Bottom,0.0
R92,49.53,57.47,Bottom,0.0
R93,49.53,35.88,Bottom,0.0
R94,49.85,14.29,Bottom,0.0
R95, 1.91, 2.54,Bottom,180.0
R96,15.88, 2.54,Bottom,0.0
U1,60.96,95.25,Bottom,270.0
U2,60.96,73.66,Bottom,270.0
U3, 6.35,90.17,Bottom,0.0
U4, 6.35,68.58,Bottom,0.0
U5,50.16,90.17,Bottom,180.0
U6,50.16,68.58,Bottom,180.0
U7,35.88,96.52,Bottom,270.0
U8,35.56,74.93,Bottom,270.0
U9,60.96,52.07,Bottom,270.0
U10,50.16,30.48,Bottom,270.0
U11, 6.35,46.99,Bottom,0.0
U12, 6.35,25.40,Bottom,0.0
U13,50.16,46.99,Bottom,180.0
U14,50.16,22.86,Bottom,180.0
U15,35.56,53.34,Bottom,270.0
U16,35.56,31.75,Bottom,270.0
U17,20.32,90.17,Bottom,0.0
U18,20.32,68.58,Bottom,0.0
U19,20.32,46.99,Bottom,0.0
U20,20.32,25.40,Bottom,0.0
U21,37.47,11.43,Bottom,180.0
U22,12.70,12.70,Bottom,270.0
X1,39.37, 3.81,Bottom,180.0
