Designator,Mid X,Mid Y,Layer,Rotation
R108,59.69,43.18,Bottom,180
R109,12.70,24.13,Bottom,180
R110,3.81,68.58,Bottom,90
R111,1.27,68.58,Bottom,90
R112,20.32,73.03,Bottom,180
R113,7.62,71.76,Bottom,180
R114,20.32,62.23,Bottom,180
R115,20.32,52.07,Bottom,180
R116,20.32,63.50,Bottom,180
R117,20.32,53.34,Bottom,180
R118,7.62,62.23,Bottom,0
R119,7.62,52.07,Bottom,0
R120,7.62,60.96,Bottom,180
R121,7.62,50.80,Bottom,180
R122,52.07,3.18,Bottom,0
R123,45.72,3.18,Bottom,0
R124,39.37,3.18,Bottom,180
U1,13.97,93.98,Bottom,270
U2,39.37,87.63,Bottom,270
U3,39.37,72.39,Bottom,270
U4,45.72,12.70,Bottom,90
U5,31.75,22.86,Bottom,0
U6,53.34,90.81,Bottom,270
U7,53.34,75.56,Bottom,270
U8,39.37,93.98,Bottom,270
U9,39.37,78.74,Bottom,270
U10,13.97,83.82,Bottom,270
U11,39.37,57.15,Bottom,270
U12,39.37,41.91,Bottom,270
U13,31.75,11.43,Bottom,0
U14,45.72,22.86,Bottom,90
U15,53.34,60.33,Bottom,270
U16,53.34,45.09,Bottom,270
U17,39.37,63.50,Bottom,270
U18,39.37,48.26,Bottom,270
U19,66.04,93.98,Bottom,270
U20,66.04,78.74,Bottom,270
U21,66.04,87.63,Bottom,270
U22,66.04,72.39,Bottom,270
U23,17.78,17.78,Bottom,0
U24,66.04,63.50,Bottom,270
U25,66.04,48.26,Bottom,270
U26,66.04,57.15,Bottom,270
U27,66.04,41.91,Bottom,270
U28,13.97,72.39,Bottom,270
U29,13.97,62.23,Bottom,270
U30,13.97,52.07,Bottom,270
